nom1;nom2;nom3;nom4;code_postal;longitude;latitude
nampont;NAMPONT;nampont;Nampont;80120;1.74556;50.3489
camps-en-amienois;CAMPS-EN-AMIENOIS;camps en amienois;Camps-en-Amiénois;80540;1.96667;49.8667
meillard-80;LE MEILLARD;le meillard;Le Meillard;80370;2.2;50.1667
saint-aubin-riviere;SAINT-AUBIN-RIVIERE;saint aubin riviere;Saint-Aubin-Rivière;80430;1.78333;49.8667
dompierre-becquincourt;DOMPIERRE-BECQUINCOURT;dompierre becquincourt;Dompierre-Becquincourt;80980;2.805;49.9076
foucaucourt-hors-nesle;FOUCAUCOURT-HORS-NESLE;foucaucourt hors nesle;Foucaucourt-Hors-Nesle;80140;1.73333;49.9167
longuevillette;LONGUEVILLETTE;longuevillette;Longuevillette;80600;2.26667;50.1333
tully;TULLY;tully;Tully;80530;1.51667;50.0833
allaines;ALLAINES;allaines;Allaines;80200;2.95;49.95
lesboeufs;LESBOEUFS;lesboeufs;Lesbœufs;80360;2.86667;50.0333
authie-80;AUTHIE;authie;Authie;80560;2.5;50.1167
vrely;VRELY;vrely;Vrély;80170;2.68333;49.7833
domleger-longvillers;DOMLEGER-LONGVILLERS;domleger longvillers;Domléger-Longvillers;80370;2.08333;50.1667
caix;CAIX;caix;Caix;80170;2.65;49.8167
nouvion;NOUVION;nouvion;Nouvion;80860;1.77389;50.212
embreville;EMBREVILLE;embreville;Embreville;80570;1.55;50.0333
thieulloy-la-ville;THIEULLOY-LA-VILLE;thieulloy la ville;Thieulloy-la-Ville;80290;1.93333;49.75
davenescourt;DAVENESCOURT;davenescourt;Davenescourt;80500;2.6;49.7
saint-sauflieu;SAINT-SAUFLIEU;saint sauflieu;Saint-Sauflieu;80160;2.25;49.7833
hescamps;HESCAMPS;hescamps;Hescamps;80290;1.87111;49.7287
damery-80;DAMERY;damery;Damery;80700;2.75;49.7333
toutencourt;TOUTENCOURT;toutencourt;Toutencourt;80560;2.45;50.0333
hedauville;HEDAUVILLE;hedauville;Hédauville;80560;2.56667;50.05
henencourt;HENENCOURT;henencourt;Hénencourt;80300;2.56667;50
bouillancourt-la-bataille;BOUILLANCOURT-LA-BATAILLE;bouillancourt la bataille;Bouillancourt-la-Bataille;80500;2.53333;49.7
bresle;BRESLE;bresle;Bresle;80300;2.56667;49.9833
fresnoy-les-roye;FRESNOY-LES-ROYE;fresnoy les roye;Fresnoy-lès-Roye;80700;2.78333;49.7333
cannessieres;CANNESSIERES;cannessieres;Cannessières;80140;1.76667;49.9333
courcelles-au-bois;COURCELLES-AU-BOIS;courcelles au bois;Courcelles-au-Bois;80560;2.58333;50.1
villers-carbonnel;VILLERS-CARBONNEL;villers carbonnel;Villers-Carbonnel;80200;2.9;49.8667
beauchamps-80;BEAUCHAMPS;beauchamps;Beauchamps;80770;1.51667;50.0167
lignieres-en-vimeu;LIGNIERES-EN-VIMEU;lignieres en vimeu;Lignières-en-Vimeu;80140;1.73333;49.9167
esmery-hallon;ESMERY-HALLON;esmery hallon;Esmery-Hallon;80400;3.01667;49.7167
cantigny;CANTIGNY;cantigny;Cantigny;80500;2.5;49.6667
gueudecourt;GUEUDECOURT;gueudecourt;Gueudecourt;80360;2.83333;50.05
bovelles;BOVELLES;bovelles;Bovelles;80540;2.13333;49.8833
pont-noyelles;PONT-NOYELLES;pont noyelles;Pont-Noyelles;80115;2.45;49.9333
beuvraignes;BEUVRAIGNES;beuvraignes;Beuvraignes;80700;2.76667;49.65
coigneux;COIGNEUX;coigneux;Coigneux;80560;2.55;50.1167
voyennes;VOYENNES;voyennes;Voyennes;80400;2.98333;49.7667
roisel;ROISEL;roisel;Roisel;80240;3.1;49.95
ramburelles;RAMBURELLES;ramburelles;Ramburelles;80140;1.7;49.9667
doingt;DOINGT;doingt;Doingt;80200;2.96667;49.9167
languevoisin-quiquery;LANGUEVOISIN-QUIQUERY;languevoisin quiquery;Languevoisin-Quiquery;80190;2.93333;49.7333
ailly-sur-somme;AILLY-SUR-SOMME;ailly sur somme;Ailly-sur-Somme;80470;2.2;49.9167
fort-mahon-plage;FORT-MAHON-PLAGE;fort mahon plage;Fort-Mahon-Plage;80790;1.56972;50.3419
huchenneville;HUCHENNEVILLE;huchenneville;Huchenneville;80132;1.8;50.05
gratibus;GRATIBUS;gratibus;Gratibus;80500;2.55;49.6833
ailly-le-haut-clocher;AILLY-LE-HAUT-CLOCHER;ailly le haut clocher;Ailly-le-Haut-Clocher;80690;2;50.0833
heilly;HEILLY;heilly;Heilly;80113;2.53333;49.95
fay-80;FAY;fay;Fay;80200;2.8;49.8833
brutelles;BRUTELLES;brutelles;Brutelles;80230;1.51667;50.1333
maizicourt;MAIZICOURT;maizicourt;Maizicourt;80370;2.11667;50.2
bus-la-mesiere;BUS-LA-MESIERE;bus la mesiere;Bus-la-Mésière;80700;2.71667;49.6333
boisbergues;BOISBERGUES;boisbergues;Boisbergues;80600;2.23333;50.15
fransu;FRANSU;fransu;Fransu;80620;2.08333;50.1
mesnil-martinsart;MESNIL-MARTINSART;mesnil martinsart;Mesnil-Martinsart;80300;2.65;50.05
rue;RUE;rue;Rue;80120;1.66667;50.2667
saint-fuscien;SAINT-FUSCIEN;saint fuscien;Saint-Fuscien;80680;2.31667;49.8333
saint-valery-sur-somme;SAINT-VALERY-SUR-SOMME;saint valery sur somme;Saint-Valery-sur-Somme;80230;1.63333;50.1833
fossemanant;FOSSEMANANT;fossemanant;Fossemanant;80160;2.2;49.8
caours;CAOURS;caours;Caours;80132;1.88333;50.1333
dury-80;DURY;dury;Dury;80480;2.26667;49.85
buigny-l-abbe;BUIGNY-L'ABBE;buigny l abbe;Buigny-l'Abbé;80132;1.93333;50.0833
prouzel;PROUZEL;prouzel;Prouzel;80160;2.2;49.8
frise;FRISE;frise;Frise;80340;2.81667;49.9333
courcelles-sous-moyencourt;COURCELLES-SOUS-MOYENCOURT;courcelles sous moyencourt;Courcelles-sous-Moyencourt;80290;2.04445;49.8134
dernancourt;DERNANCOURT;dernancourt;Dernancourt;80300;2.63333;49.9667
lealvillers;LEALVILLERS;lealvillers;Léalvillers;80560;2.51667;50.0667
bussus-bussuel;BUSSUS-BUSSUEL;bussus bussuel;Bussus-Bussuel;80135;2;50.1
villers-sous-ailly;VILLERS-SOUS-AILLY;villers sous ailly;Villers-sous-Ailly;80690;2.01667;50.0667
